"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Sentiu que os videos da Dreamshaper foram úteis para si?,Os exemplos foram úteis para si?,"Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?",Quais são os seus 3 aspectos preferidos da ferramenta?,E quais são os 3 aspectos que menos gosta?,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
3,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Navegação na ferramenta;Vídeos;,Exemplos;Modelo de negócios;Acesso a recursos externos;,Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Exemplos;Modelo de negócios;Gestão de equipa;Gestão de projectos;,Todos foram rasoaveis ;,Bastante,4,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas, ;, ;,Imenso,4,5.0
3,"Úteis, mas pouco",Pouco úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Perguntas;,Exemplos;Vídeos;Acesso a recursos externos;,Alguma coisa,3,3.0
4- Muito Satisfeito,"Úteis, mas pouco",Pouco úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Exemplos;,Acesso a recursos externos;,Bastante,4,4.0
3,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Vídeos;Modelo de negócios;,Gestão de equipa;Gestão de projectos;Acesso a recursos externos;,Alguma coisa,3,3.0
1- Nada Satisfeito,Não foram úteis,"Não, nada úteis",Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;,Navegação na ferramenta;Perguntas;Exemplos;Vídeos;Modelo de negócios;Indicações de interface;Mural de equipa;Gestão de equipa;Gestão de projectos;Acesso a recursos externos;,Nada,1,1.0
3,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Perguntas;Modelo de negócios;,Navegação na ferramenta;Mural de equipa;Gestão de equipa;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Navegação na ferramenta;Modelo de negócios;Indicações de interface;,Perguntas;Exemplos;Acesso a recursos externos;,Bastante,4,4.0
3,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Modelo de negócios;Gestão de projectos;,Exemplos;Mural de equipa;Gestão de equipa;,Alguma coisa,3,3.0
3,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Modelo de negócios;Mural de equipa;,Aspecto visual;Navegação na ferramenta;Acesso a recursos externos;,Alguma coisa,3,3.0
3,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Mural de equipa;Gestão de projectos;,Perguntas;Vídeos;Indicações de interface;,Bastante,3,4.0
3,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Gestão de equipa;Gestão de projectos;,Perguntas;Vídeos;Acesso a recursos externos;,Bastante,3,4.0
